"ntdid","GEOID.msa","name_msa"
"0001","42660","Seattle-Tacoma-Bellevue, WA"
"0003","42660","Seattle-Tacoma-Bellevue, WA"
"0005","42660","Seattle-Tacoma-Bellevue, WA"
"0008","38900","Portland-Vancouver-Hillsboro, OR-WA"
"0023","42660","Seattle-Tacoma-Bellevue, WA"
"0024","38900","Portland-Vancouver-Hillsboro, OR-WA"
"0028","42660","Seattle-Tacoma-Bellevue, WA"
"0029","42660","Seattle-Tacoma-Bellevue, WA"
"0035","42660","Seattle-Tacoma-Bellevue, WA"
"0040","42660","Seattle-Tacoma-Bellevue, WA"
"0046","38900","Portland-Vancouver-Hillsboro, OR-WA"
"0052","38900","Portland-Vancouver-Hillsboro, OR-WA"
"0054","42660","Seattle-Tacoma-Bellevue, WA"
"0058","38900","Portland-Vancouver-Hillsboro, OR-WA"
"1001","39300","Providence-Warwick, RI-MA"
"1003","14460","Boston-Cambridge-Newton, MA-NH"
"1004","14460","Boston-Cambridge-Newton, MA-NH"
"1005","14460","Boston-Cambridge-Newton, MA-NH"
"1006","39300","Providence-Warwick, RI-MA"
"1013","14460","Boston-Cambridge-Newton, MA-NH"
"1017","25540","Hartford-West Hartford-East Hartford, CT"
"1045","25540","Hartford-West Hartford-East Hartford, CT"
"1047","25540","Hartford-West Hartford-East Hartford, CT"
"1048","25540","Hartford-West Hartford-East Hartford, CT"
"1052","25540","Hartford-West Hartford-East Hartford, CT"
"1053","14460","Boston-Cambridge-Newton, MA-NH"
"1055","25540","Hartford-West Hartford-East Hartford, CT"
"1056","25540","Hartford-West Hartford-East Hartford, CT"
"1063","25540","Hartford-West Hartford-East Hartford, CT"
"1064","39300","Providence-Warwick, RI-MA"
"1086","14460","Boston-Cambridge-Newton, MA-NH"
"1102","25540","Hartford-West Hartford-East Hartford, CT"
"1108","25540","Hartford-West Hartford-East Hartford, CT"
"1109","39300","Providence-Warwick, RI-MA"
"1110","25540","Hartford-West Hartford-East Hartford, CT"
"1116","39300","Providence-Warwick, RI-MA"
"1117","14460","Boston-Cambridge-Newton, MA-NH"
"1118","14460","Boston-Cambridge-Newton, MA-NH"
"1119","14460","Boston-Cambridge-Newton, MA-NH"
"1122","14460","Boston-Cambridge-Newton, MA-NH"
"1123","14460","Boston-Cambridge-Newton, MA-NH"
"1129","14460","Boston-Cambridge-Newton, MA-NH"
"1130","25540","Hartford-West Hartford-East Hartford, CT"
"1156","14460","Boston-Cambridge-Newton, MA-NH"
"1157","14460","Boston-Cambridge-Newton, MA-NH"
"1158","14460","Boston-Cambridge-Newton, MA-NH"
"1159","14460","Boston-Cambridge-Newton, MA-NH"
"1160","14460","Boston-Cambridge-Newton, MA-NH"
"1135","14460","Boston-Cambridge-Newton, MA-NH"
"2004","15380","Buffalo-Cheektowaga-Niagara Falls, NY"
