"","geocode","lon","lat"
"1","Seattle, WA USA",-122.3320708,47.6062095
"2","Spokane, WA USA",-117.4260465,47.6587802
"3","Tacoma, WA USA",-122.4442906,47.2528768
"4","Everett, WA USA",-122.2020795,47.9789848
"5","Yakima, WA USA",-120.5058987,46.6020711
"6","Eugene, OR USA",-123.0867536,44.0520691
"7","Portland, OR USA",-122.6764815,45.5230622
"8","Meridian, ID USA",-116.3915131,43.6121087
"9","Anchorage, AK USA",-149.9002778,61.2180556
"10","Longview, WA USA",-122.9381672,46.1381676
"11","Richland, WA USA",-119.2844621,46.2856907
"12","Olympia, WA USA",-122.9006951,47.0378741
"13","Bremerton, WA USA",-122.6269768,47.5650067
"14","Bellingham, WA USA",-122.4786854,48.7519112
"15","Pocatello, ID USA",-112.4455344,42.8713032
"16","Vancouver, WA USA",-122.6716063,45.6318397
"17","Salem, OR USA",-123.0350963,44.9428975
"18","University Place, WA USA",-122.5504041,47.2356536
"19","Medford, OR USA",-122.8755949,42.3265152
"20","Idaho Falls, ID USA",-112.0339645,43.4916514
"21","Wenatchee, WA USA",-120.3103494,47.4234599
"22","Burlington, WA USA",-122.3254374,48.4756621
"23","Fairbanks, AK USA",-147.7163888,64.8377778
"24","Wilsonville, OR USA",-122.7737062,45.2998418
"25","Corvallis, OR USA",-123.2620435,44.5645659
"26","Lewiston, ID USA",-117.001189,46.4004089
"27","Bend, OR USA",-121.3153096,44.0581728
"28","Clarkston, WA USA",-117.0451581,46.4162723
"29","Coeur d'Alene, ID USA",-116.7804664,47.6776832
"30","Kingston, WA USA",-122.4981921,47.7987072
"31","Grants Pass, OR USA",-123.3283925,42.4390069
"32","Albany, OR USA",-123.1059282,44.6365107
"33","MiltonFreewater, OR USA",-118.3877435,45.9326346
"34","Walla Walla, WA USA",-118.3430208,46.0645809
"35","Providence, RI USA",-71.4128343,41.8239891
"36","Manchester, NH USA",-71.4547891,42.9956397
"37","Boston, MA USA",-71.0588801,42.3600825
"38","Brockton, MA USA",-71.0183787,42.0834335
"39","Lowell, MA USA",-71.3161718,42.6334247
"40","New Bedford, MA USA",-70.934205,41.6362152
"41","Pittsfield, MA USA",-73.2453824,42.4500845
"42","Springfield, MA USA",-72.589811,42.1014831
"43","Haverhill, MA USA",-71.0772796,42.7762015
"44","Worcester, MA USA",-71.8022934,42.2625932
"45","Auburn, ME USA",-70.2311655,44.0978509
"46","Portland, ME USA",-70.2553259,43.661471
"47","Hartford, CT USA",-72.6850932,41.7637111
"48","Preston, CT USA",-72.0112598,41.5224785
"49","Norwalk, CT USA",-73.4081575,41.117744
"50","Derby, CT USA",-73.0889973,41.3206523
"51","New Britain, CT USA",-72.7795419,41.6612104
