"","Data_Status","State","MSN","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","gp_06","gp_07","gp_08","gp_09","gp_10","gp_11","gp_12","gp_13","gp_14","gp_15"
"1","2015F","AK","MGTCD",21.51,22.84,29.72,23.25,27.91,34.4,36.18,34.8,33.67,27.64,2.65853357142857,2.8033380952381,3.62725523809524,2.82376785714286,3.3744519047619,4.15093333333333,4.36141285714286,4.19422857142857,4.05643333333333,3.3299619047619
"2","2015F","AL","MGTCD",19.74,21.49,25.69,18.03,21.67,27.51,27.98,27.14,25.88,18.16,2.43977,2.63764166666667,3.13540333333333,2.18978642857143,2.62000619047619,3.31954,3.37292238095238,3.27101619047619,3.11792380952381,2.18784761904762
"3","2015F","AR","MGTCD",19.71,22.06,25.46,17.8,21.93,27.83,28.32,27.47,26.19,18.37,2.43606214285714,2.70760238095238,3.10733238095238,2.16185238095238,2.65144142857143,3.35815333333333,3.41390857142857,3.31078904761905,3.15527142857143,2.21314761904762
"4","2015F","AZ","MGTCD",20.67,22.16,25.79,18.7,22.46,27.67,29.1,27.99,27.09,22.24,2.55471357142857,2.71987619047619,3.1476080952381,2.27115952380952,2.71552095238095,3.33884666666667,3.50793571428571,3.37346142857143,3.2637,2.67939047619048
"5","2015F","CA","MGTCD",21.44,23.28,26.85,20.52,24.71,30.48,32.23,31.07,29.98,25.45,2.6498819047619,2.85734285714286,3.27697857142857,2.49220285714286,2.98755666666667,3.67792,3.88524976190476,3.74467476190476,3.61187619047619,3.06611904761905
"6","2015F","CO","MGTCD",20.7,22.93,25.99,18.57,21.94,27.93,28.64,28.15,27.52,19.55,2.55842142857143,2.81438452380952,3.17201761904762,2.25537071428571,2.65265047619048,3.37022,3.45248380952381,3.39274523809524,3.31550476190476,2.35530952380952
"7","2015F","CT","MGTCD",21.35,22.99,26.56,19.57,23.62,30.3,31.31,30.55,29.36,20.75,2.63875833333333,2.82174880952381,3.24158476190476,2.3768230952381,2.85577047619048,3.6562,3.77434595238095,3.68200238095238,3.53718095238095,2.49988095238095
"8","2015F","DC","MGTCD",21.35,22.63,26.65,18.59,23.72,30.17,31.31,30.41,29.42,21.31,2.63875833333333,2.7775630952381,3.25256904761905,2.25779976190476,2.86786095238095,3.64051333333333,3.77434595238095,3.66512904761905,3.54440952380952,2.56734761904762
"9","2015F","DE","MGTCD",20.78,21.9,25.96,18.82,22.55,28.69,29.77,28.92,27.97,20.26,2.56830904761905,2.68796428571429,3.16835619047619,2.28573380952381,2.72640238095238,3.46192666666667,3.58870261904762,3.48554857142857,3.36971904761905,2.44084761904762
"10","2015F","FL","MGTCD",19.75,21.48,25.46,18.18,21.75,27.39,28.03,27.59,26.44,18.84,2.44100595238095,2.63641428571429,3.10733238095238,2.20800428571429,2.62967857142857,3.30506,3.37894976190476,3.32525190476191,3.18539047619048,2.26977142857143
"11","2015F","GA","MGTCD",19.05,20.76,25.01,17.37,20.98,26.66,27.31,26.67,25.69,18.28,2.35448928571429,2.54804285714286,3.05241095238095,2.10962785714286,2.5365819047619,3.21697333333333,3.29215547619048,3.21437,3.09503333333333,2.20230476190476
"12","2015F","HI","MGTCD",23.96,24.54,29.37,22.86,27.92,34.41,36.19,34.81,33.68,27.65,2.9613419047619,3.01199285714286,3.58453857142857,2.77640142857143,3.37566095238095,4.15214,4.36261833333333,4.19543380952381,4.05763809523809,3.33116666666667
"13","2015F","IA","MGTCD",19.9,22.37,25.49,18.69,22.13,28.19,28.8,28.08,26.86,19.27,2.45954523809524,2.74565119047619,3.11099380952381,2.269945,2.67562238095238,3.40159333333333,3.47177142857143,3.38430857142857,3.23599047619048,2.32157619047619
"14","2015F","ID","MGTCD",20.79,22.83,26.56,19.16,23.65,29.16,29.93,29.33,28.61,20.92,2.569545,2.80211071428571,3.24158476190476,2.32702761904762,2.85939761904762,3.51864,3.60799023809524,3.53496333333333,3.44682380952381,2.5203619047619
"15","2015F","IL","MGTCD",20.18,22.41,25.94,18.84,22.52,28.68,29.3,28.58,27.33,19.61,2.4941519047619,2.75056071428571,3.16591523809524,2.28816285714286,2.72277523809524,3.46072,3.53204523809524,3.44457047619048,3.29261428571429,2.36253809523809
"16","2015F","IN","MGTCD",19.6,21.84,25.35,18.34,21.76,27.71,28.31,27.61,26.4,18.95,2.42246666666667,2.6806,3.09390714285714,2.22743666666667,2.63088761904762,3.34367333333333,3.4127030952381,3.32766238095238,3.18057142857143,2.28302380952381
"17","2015F","KS","MGTCD",19.9,22.28,25.39,18.39,21.98,28,28.6,27.89,26.68,19.14,2.45954523809524,2.73460476190476,3.09878904761905,2.23350928571429,2.65748666666667,3.37866666666667,3.4476619047619,3.36140904761905,3.21430476190476,2.30591428571429
"18","2015F","KY","MGTCD",20.02,22.21,25.92,18.9,22.51,28.66,29.28,28.56,27.31,19.59,2.47437666666667,2.7260130952381,3.16347428571429,2.29545,2.72156619047619,3.45830666666667,3.52963428571429,3.44216,3.29020476190476,2.36012857142857
"19","2015F","LA","MGTCD",20.09,21.81,25.99,18.51,21.79,27.65,28.13,27.29,26.02,18.25,2.48302833333333,2.67691785714286,3.17201761904762,2.24808357142857,2.63451476190476,3.33643333333333,3.39100452380952,3.28909476190476,3.13479047619048,2.19869047619048
"20","2015F","MA","MGTCD",20.68,22.5,26.35,19.46,22.78,29.26,30.31,29.5,28.39,20.09,2.55594952380952,2.76160714285714,3.21595476190476,2.36346333333333,2.75421047619048,3.53070666666667,3.65379833333333,3.55545238095238,3.42031904761905,2.42036666666667
"21","2015F","MD","MGTCD",20.89,22.32,26.05,18.95,22.66,28.82,29.92,29.06,28.1,20.36,2.58190452380952,2.73951428571429,3.17934047619048,2.30152261904762,2.7397019047619,3.47761333333333,3.60678476190476,3.5024219047619,3.38538095238095,2.45289523809524
"22","2015F","ME","MGTCD",20.97,23.14,27.12,20.23,23.48,30.12,31.12,30.37,29.18,20.63,2.59179214285714,2.84015952380952,3.30993142857143,2.45698166666667,2.83884380952381,3.63448,3.75144190476191,3.6603080952381,3.51549523809524,2.48542380952381
"23","2015F","MI","MGTCD",19.97,22.26,25.47,18.54,21.99,28.01,28.61,27.91,26.69,19.15,2.4681969047619,2.73215,3.10855285714286,2.25172714285714,2.65869571428571,3.37987333333333,3.44886738095238,3.36381952380952,3.21550952380952,2.30711904761905
"24","2015F","MN","MGTCD",20.21,22.49,25.45,19.13,22.94,29.29,29.42,28.88,27.24,19.82,2.49785976190476,2.76037976190476,3.10611190476191,2.32338404761905,2.77355523809524,3.53432666666667,3.54651095238095,3.48072761904762,3.28177142857143,2.3878380952381
"25","2015F","MO","MGTCD",19.44,21.51,24.79,17.92,21.48,27.35,27.95,27.25,26.06,18.7,2.40269142857143,2.64009642857143,3.02556047619048,2.17642666666667,2.59703428571429,3.30023333333333,3.36930595238095,3.28427380952381,3.13960952380952,2.25290476190476
"26","2015F","MS","MGTCD",19.94,21.57,25.36,18.18,21.74,27.6,28.08,27.24,25.97,18.22,2.46448904761905,2.64746071428571,3.09512761904762,2.20800428571429,2.62846952380952,3.3304,3.38497714285714,3.28306857142857,3.12876666666667,2.19507619047619
"27","2015F","MT","MGTCD",20.65,23.05,26.74,19.49,23.54,29.04,29.8,29.21,28.49,20.82,2.55224166666667,2.8291130952381,3.26355333333333,2.3671069047619,2.8460980952381,3.50416,3.59231904761905,3.52050047619048,3.43236666666667,2.50831428571429
"28","2015F","NC","MGTCD",20.51,22.38,26.45,18.97,22.6,28.72,29.42,28.73,27.67,19.69,2.53493833333333,2.74687857142857,3.22815952380952,2.30395166666667,2.73244761904762,3.46554666666667,3.54651095238095,3.46264904761905,3.33357619047619,2.37217619047619
"29","2015F","ND","MGTCD",20.58,23.35,26.17,19.65,23.5,29.92,30.57,29.82,28.51,20.46,2.54359,2.86593452380952,3.19398619047619,2.38653928571429,2.84126190476191,3.61034666666667,3.68514071428571,3.59402,3.43477619047619,2.46494285714286
"30","2015F","NE","MGTCD",20.49,22.94,25.38,19,22.74,28.96,29.59,28.85,27.59,19.8,2.53246642857143,2.81561190476191,3.09756857142857,2.30759523809524,2.74937428571429,3.49450666666667,3.56700404761905,3.4771119047619,3.32393809523809,2.38542857142857
"31","2015F","NH","MGTCD",20.62,22.22,26.19,19.14,22.8,29.24,30.22,29.48,28.33,20.03,2.54853380952381,2.72724047619048,3.19642714285714,2.32459857142857,2.75662857142857,3.52829333333333,3.64294904761905,3.55304190476191,3.41309047619048,2.4131380952381
"32","2015F","NJ","MGTCD",20.05,21.26,25.51,18.22,21.84,27.78,28.84,28.01,27.09,19.62,2.47808452380952,2.60941190476191,3.11343476190476,2.21286238095238,2.64056,3.35212,3.47659333333333,3.37587190476191,3.2637,2.36374285714286
"33","2015F","NM","MGTCD",20.91,23.07,26.17,19.16,22.62,28.71,29.21,28.34,27.02,18.95,2.58437642857143,2.83156785714286,3.19398619047619,2.32702761904762,2.73486571428571,3.46434,3.52119595238095,3.41564476190476,3.25526666666667,2.28302380952381
"34","2015F","NV","MGTCD",21.46,23.18,26.64,20,23.38,28.81,30.3,29.14,28.2,23.15,2.65235380952381,2.84506904761905,3.25134857142857,2.42904761904762,2.82675333333333,3.47640666666667,3.65259285714286,3.51206380952381,3.39742857142857,2.78902380952381
"35","2015F","NY","MGTCD",20.77,22.49,26.68,19.37,22.93,29.13,30.19,29.42,28.36,20.46,2.5670730952381,2.76037976190476,3.25623047619048,2.35253261904762,2.77234619047619,3.51502,3.63933261904762,3.54581047619048,3.41670476190476,2.46494285714286
"36","2015F","OH","MGTCD",20.32,22.67,25.88,19.12,22.62,28.73,29.63,28.77,27.74,19.77,2.51145523809524,2.78247261904762,3.15859238095238,2.32216952380952,2.73486571428571,3.46675333333333,3.57182595238095,3.46747,3.34200952380952,2.38181428571429
"37","2015F","OK","MGTCD",19.39,22,24.86,17.89,21.53,27.42,28.01,27.32,26.12,18.74,2.39651166666667,2.7002380952381,3.03410380952381,2.1727830952381,2.60307952380952,3.30868,3.37653880952381,3.29271047619048,3.1468380952381,2.25772380952381
"38","2015F","OR","MGTCD",21.47,23.73,27.51,20.5,23.98,29.55,31.08,29.89,28.93,23.74,2.65358976190476,2.912575,3.35753,2.48977380952381,2.89929619047619,3.5657,3.74662,3.60245666666667,3.48537619047619,2.86010476190476
"39","2015F","PA","MGTCD",20.88,22.64,26.55,19.56,23.16,29.45,30.57,29.69,28.72,20.8,2.58066857142857,2.77879047619048,3.24036428571429,2.37560857142857,2.80015428571429,3.55363333333333,3.68514071428571,3.57835190476191,3.46007619047619,2.50590476190476
"40","2015F","RI","MGTCD",21.27,22.63,26.33,19.68,23.42,30.04,31.05,30.29,29.11,20.58,2.62887071428571,2.7775630952381,3.21351380952381,2.39018285714286,2.83158952380952,3.62482666666667,3.74300357142857,3.65066619047619,3.5070619047619,2.4794
"41","2015F","SC","MGTCD",19.5,21.3,25.5,17.82,21.26,27.03,27.69,27.03,26.04,18.53,2.41010714285714,2.61432142857143,3.11221428571429,2.16428142857143,2.57043523809524,3.26162,3.33796357142857,3.25775857142857,3.1372,2.23242380952381
