"GEOID.msa","name_msa","area_miles"
"40140","Riverside-San Bernardino-Ontario, CA",27408.1484692388
"41860","San Francisco-Oakland-Hayward, CA",3426.11807458476
"42660","Seattle-Tacoma-Bellevue, WA",6309.45778842606
"41940","San Jose-Sunnyvale-Santa Clara, CA",2694.51517856755
"40900","Sacramento--Roseville--Arden-Arcade, CA",5306.42573885637
"41740","San Diego-Carlsbad, CA",4525.6160463536
"41620","Salt Lake City, UT",8091.67653162789
"41700","San Antonio-New Braunfels, TX",7370.82676035041
"41180","St. Louis, MO-IL",8081.83970740987
"39580","Raleigh, NC",2147.31465409083
"40380","Rochester, NY",5245.73065219227
"40060","Richmond, VA",4702.75758238361
"45300","Tampa-St. Petersburg-Clearwater, FL",3331.31389302787
"46520","Urban Honolulu, HI",2166.21233220395
"46060","Tucson, AZ",9189.04093018909
"46140","Tulsa, OK",6460.0577090112
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",6680.36611126225
"47260","Virginia Beach-Norfolk-Newport News, VA-NC",3932.98849423646
"36420","Oklahoma City, OK",5581.69109248618
"38900","Portland-Vancouver-Hillsboro, OR-WA",6821.42655534215
"38060","Phoenix-Mesa-Scottsdale, AZ",14598.6430567957
"35380","New Orleans-Metairie, LA",7874.44525104558
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN",6378.13857692079
"36740","Orlando-Kissimmee-Sanford, FL",4011.52518693958
"38300","Pittsburgh, PA",5342.42617076173
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4870.07246188969
"35620","New York-Newark-Jersey City, NY-NJ-PA",10875.5853575893
"39300","Providence-Warwick, RI-MA",2236.10004069805
"33460","Minneapolis-St. Paul-Bloomington, MN-WI",8119.6439843241
"33340","Milwaukee-Waukesha-West Allis, WI",3321.90291069979
"31080","Los Angeles-Long Beach-Anaheim, CA",5699.10861016555
"19740","Denver-Aurora-Lakewood, CO",8402.70009982051
"26420","Houston-The Woodlands-Sugar Land, TX",9443.79198148231
"32820","Memphis, TN-MS-AR",5108.01616034903
"24340","Grand Rapids-Wyoming, MI",3801.20425238544
"31140","Louisville/Jefferson County, KY-IN",3640.31025759502
"19820","Detroit-Warren-Dearborn, MI",4235.55805536287
"33100","Miami-Fort Lauderdale-West Palm Beach, FL",6137.16124834265
"25540","Hartford-West Hartford-East Hartford, CT",1606.71780857636
"29820","Las Vegas-Henderson-Paradise, NV",8060.87252146778
"12420","Austin-Round Rock, TX",4280.06354125135
"19100","Dallas-Fort Worth-Arlington, TX",9636.0062438403
"28140","Kansas City, MO-KS",7373.26790198044
"16980","Chicago-Naperville-Elgin, IL-IN-WI",9578.5385287842
"13820","Birmingham-Hoover, AL",5369.74753086149
"26900","Indianapolis-Carmel-Anderson, IN",4340.68577924178
"17140","Cincinnati, OH-KY-IN",4239.77580129136
"12060","Atlanta-Sandy Springs-Roswell, GA",8835.61300935024
"18140","Columbus, OH",4850.24654056013
"27260","Jacksonville, FL",3698.40612641658
"17460","Cleveland-Elyria, OH",3979.35764850837
"16740","Charlotte-Concord-Gastonia, NC-SC",5179.02730198358
"15380","Buffalo-Cheektowaga-Niagara Falls, NY",2366.51346921001
"12580","Baltimore-Columbia-Towson, MD",3105.01369295887
"14460","Boston-Cambridge-Newton, MA-NH",4512.44275427845
