"geoid.msa","ntdid"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
42660,"0001"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
44060,"0002"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0003"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
42660,"0005"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
49420,"0006"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
21660,"0007"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
38900,"0008"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
14260,"0011"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
11260,"0012"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
31020,"0016"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
28420,"0018"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
36500,"0019"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
14740,"0020"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
13380,"0021"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
NA,"0022"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
42660,"0023"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
38900,"0024"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
41420,"0025"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0028"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
42660,"0029"
NA,"0033"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
32780,"0034"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0035"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
42660,"0040"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
11260,"0041"
26820,"0042"
26820,"0042"
26820,"0042"
26820,"0042"
26820,"0042"
26820,"0042"
26820,"0042"
26820,"0042"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
48300,"0043"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
34580,"0044"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
21820,"0045"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
38900,"0046"
18700,"0047"
18700,"0047"
18700,"0047"
18700,"0047"
18700,"0047"
18700,"0047"
18700,"0047"
30300,"0048"
30300,"0048"
30300,"0048"
30300,"0048"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
11260,"0049"
NA,"0050"
NA,"0050"
NA,"0050"
NA,"0050"
NA,"0050"
NA,"0050"
30300,"0051"
30300,"0051"
30300,"0051"
30300,"0051"
NA,"0052"
NA,"0052"
NA,"0052"
NA,"0052"
NA,"0052"
17660,"0053"
17660,"0053"
17660,"0053"
17660,"0053"
17660,"0053"
17660,"0053"
42660,"0054"
42660,"0054"
42660,"0054"
42660,"0054"
42660,"0054"
42660,"0054"
42660,"0054"
17660,"0055"
17660,"0055"
17660,"0055"
NA,"0056"
13460,"0057"
13460,"0057"
13460,"0057"
38900,"0058"
38900,"0058"
38900,"0058"
24420,"0059"
24420,"0059"
24420,"0059"
42660,"0060"
42660,"0060"
42660,"0060"
10540,"0061"
10540,"0061"
10540,"0061"
25840,"0063"
25840,"0063"
25840,"0063"
47460,"0064"
47460,"0064"
47460,"0064"
18700,"0065"
18700,"0065"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
39300,"1001"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
31700,"1002"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1003"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1004"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
14460,"1005"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
39300,"1006"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
38340,"1007"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
44140,"1008"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
14460,"1013"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
49340,"1014"
30340,"1015"
30340,"1015"
30340,"1015"
30340,"1015"
30340,"1015"
30340,"1015"
30340,"1015"
30340,"1015"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
38860,"1016"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
19100,"1017"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35620,"1040"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
35300,"1042"
25540,"1045"
25540,"1045"
25540,"1045"
25540,"1045"
NA,"1047"
NA,"1047"
NA,"1047"
NA,"1047"
NA,"1047"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
19100,"1048"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
47900,"1049"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
41940,"1050"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
14860,"1051"
NA,"1052"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
14460,"1053"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1055"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
19100,"1056"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
12060,"1057"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
49340,"1061"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
25540,"1063"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
39300,"1064"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
15540,"1066"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
38860,"1069"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
14460,"1086"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
31700,"1087"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
38860,"1088"
NA,"1095"
NA,"1095"
NA,"1095"
NA,"1095"
NA,"1095"
NA,"1095"
12620,"1096"
12620,"1096"
12620,"1096"
