"GEOID.msa","name_msa"
12060,"Atlanta-Sandy Springs-Roswell, GA"
12420,"Austin-Round Rock, TX"
12580,"Baltimore-Columbia-Towson, MD"
13820,"Birmingham-Hoover, AL"
14460,"Boston-Cambridge-Newton, MA-NH"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
16740,"Charlotte-Concord-Gastonia, NC-SC"
16980,"Chicago-Naperville-Elgin, IL-IN-WI"
17140,"Cincinnati, OH-KY-IN"
17460,"Cleveland-Elyria, OH"
18140,"Columbus, OH"
19100,"Dallas-Fort Worth-Arlington, TX"
19740,"Denver-Aurora-Lakewood, CO"
19820,"Detroit-Warren-Dearborn, MI"
24340,"Grand Rapids-Wyoming, MI"
25540,"Hartford-West Hartford-East Hartford, CT"
26420,"Houston-The Woodlands-Sugar Land, TX"
26900,"Indianapolis-Carmel-Anderson, IN"
27260,"Jacksonville, FL"
28140,"Kansas City, MO-KS"
29820,"Las Vegas-Henderson-Paradise, NV"
31080,"Los Angeles-Long Beach-Anaheim, CA"
31140,"Louisville/Jefferson County, KY-IN"
32820,"Memphis, TN-MS-AR"
33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
33340,"Milwaukee-Waukesha-West Allis, WI"
33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35380,"New Orleans-Metairie, LA"
35620,"New York-Newark-Jersey City, NY-NJ-PA"
36420,"Oklahoma City, OK"
36740,"Orlando-Kissimmee-Sanford, FL"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
38060,"Phoenix-Mesa-Scottsdale, AZ"
38300,"Pittsburgh, PA"
38900,"Portland-Vancouver-Hillsboro, OR-WA"
39300,"Providence-Warwick, RI-MA"
39580,"Raleigh, NC"
40060,"Richmond, VA"
40140,"Riverside-San Bernardino-Ontario, CA"
40380,"Rochester, NY"
40900,"Sacramento--Roseville--Arden-Arcade, CA"
41180,"St. Louis, MO-IL"
41620,"Salt Lake City, UT"
41700,"San Antonio-New Braunfels, TX"
41740,"San Diego-Carlsbad, CA"
41860,"San Francisco-Oakland-Hayward, CA"
41940,"San Jose-Sunnyvale-Santa Clara, CA"
42660,"Seattle-Tacoma-Bellevue, WA"
45300,"Tampa-St. Petersburg-Clearwater, FL"
46060,"Tucson, AZ"
46140,"Tulsa, OK"
46520,"Urban Honolulu, HI"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
