"","State","year","gas"
"1","AK",2006,2.65853357142857
"2","AL",2006,2.43977
"3","AR",2006,2.43606214285714
"4","AZ",2006,2.55471357142857
"5","CA",2006,2.6498819047619
"6","CO",2006,2.55842142857143
"7","CT",2006,2.63875833333333
"8","DC",2006,2.63875833333333
"9","DE",2006,2.56830904761905
"10","FL",2006,2.44100595238095
"11","GA",2006,2.35448928571429
"12","HI",2006,2.9613419047619
"13","IA",2006,2.45954523809524
"14","ID",2006,2.569545
"15","IL",2006,2.4941519047619
"16","IN",2006,2.42246666666667
"17","KS",2006,2.45954523809524
"18","KY",2006,2.47437666666667
"19","LA",2006,2.48302833333333
"20","MA",2006,2.55594952380952
"21","MD",2006,2.58190452380952
"22","ME",2006,2.59179214285714
"23","MI",2006,2.4681969047619
"24","MN",2006,2.49785976190476
"25","MO",2006,2.40269142857143
"26","MS",2006,2.46448904761905
"27","MT",2006,2.55224166666667
"28","NC",2006,2.53493833333333
"29","ND",2006,2.54359
"30","NE",2006,2.53246642857143
"31","NH",2006,2.54853380952381
"32","NJ",2006,2.47808452380952
"33","NM",2006,2.58437642857143
"34","NV",2006,2.65235380952381
"35","NY",2006,2.5670730952381
"36","OH",2006,2.51145523809524
"37","OK",2006,2.39651166666667
"38","OR",2006,2.65358976190476
"39","PA",2006,2.58066857142857
"40","RI",2006,2.62887071428571
"41","SC",2006,2.41010714285714
"42","SD",2006,2.54359
"43","TN",2006,2.45830928571429
"44","TX",2006,2.465725
"45","US",2006,2.51887095238095
"46","UT",2006,2.52628666666667
"47","VA",2006,2.46943285714286
"48","VT",2006,2.57943261904762
"49","WA",2006,2.71044357142857
"50","WI",2006,2.60538761904762
"51","WV",2006,2.569545
"52","WY",2006,2.50774738095238
"53","AK",2007,2.8033380952381
"54","AL",2007,2.63764166666667
"55","AR",2007,2.70760238095238
"56","AZ",2007,2.71987619047619
"57","CA",2007,2.85734285714286
"58","CO",2007,2.81438452380952
"59","CT",2007,2.82174880952381
"60","DC",2007,2.7775630952381
"61","DE",2007,2.68796428571429
"62","FL",2007,2.63641428571429
"63","GA",2007,2.54804285714286
"64","HI",2007,3.01199285714286
"65","IA",2007,2.74565119047619
"66","ID",2007,2.80211071428571
"67","IL",2007,2.75056071428571
"68","IN",2007,2.6806
"69","KS",2007,2.73460476190476
"70","KY",2007,2.7260130952381
"71","LA",2007,2.67691785714286
"72","MA",2007,2.76160714285714
"73","MD",2007,2.73951428571429
"74","ME",2007,2.84015952380952
"75","MI",2007,2.73215
"76","MN",2007,2.76037976190476
"77","MO",2007,2.64009642857143
"78","MS",2007,2.64746071428571
"79","MT",2007,2.8291130952381
"80","NC",2007,2.74687857142857
"81","ND",2007,2.86593452380952
"82","NE",2007,2.81561190476191
"83","NH",2007,2.72724047619048
"84","NJ",2007,2.60941190476191
"85","NM",2007,2.83156785714286
"86","NV",2007,2.84506904761905
"87","NY",2007,2.76037976190476
"88","OH",2007,2.78247261904762
"89","OK",2007,2.7002380952381
"90","OR",2007,2.912575
"91","PA",2007,2.77879047619048
"92","RI",2007,2.7775630952381
"93","SC",2007,2.61432142857143
"94","SD",2007,2.80579285714286
"95","TN",2007,2.66955357142857
"96","TX",2007,2.66832619047619
"97","US",2007,2.73460476190476
"98","UT",2007,2.75547023809524
"99","VA",2007,2.65359761904762
"100","VT",2007,2.80456547619048
"101","WA",2007,2.95307857142857
"102","WI",2007,2.861025
"103","WV",2007,2.83893214285714
"104","WY",2007,2.75915238095238
"105","AK",2008,3.62725523809524
"106","AL",2008,3.13540333333333
"107","AR",2008,3.10733238095238
"108","AZ",2008,3.1476080952381
"109","CA",2008,3.27697857142857
"110","CO",2008,3.17201761904762
"111","CT",2008,3.24158476190476
"112","DC",2008,3.25256904761905
"113","DE",2008,3.16835619047619
"114","FL",2008,3.10733238095238
"115","GA",2008,3.05241095238095
"116","HI",2008,3.58453857142857
"117","IA",2008,3.11099380952381
"118","ID",2008,3.24158476190476
"119","IL",2008,3.16591523809524
"120","IN",2008,3.09390714285714
"121","KS",2008,3.09878904761905
"122","KY",2008,3.16347428571429
"123","LA",2008,3.17201761904762
"124","MA",2008,3.21595476190476
"125","MD",2008,3.17934047619048
"126","ME",2008,3.30993142857143
"127","MI",2008,3.10855285714286
"128","MN",2008,3.10611190476191
"129","MO",2008,3.02556047619048
"130","MS",2008,3.09512761904762
"131","MT",2008,3.26355333333333
"132","NC",2008,3.22815952380952
"133","ND",2008,3.19398619047619
"134","NE",2008,3.09756857142857
"135","NH",2008,3.19642714285714
"136","NJ",2008,3.11343476190476
"137","NM",2008,3.19398619047619
"138","NV",2008,3.25134857142857
"139","NY",2008,3.25623047619048
"140","OH",2008,3.15859238095238
"141","OK",2008,3.03410380952381
"142","OR",2008,3.35753
"143","PA",2008,3.24036428571429
"144","RI",2008,3.21351380952381
"145","SC",2008,3.11221428571429
"146","SD",2008,3.13784428571429
"147","TN",2008,3.13540333333333
"148","TX",2008,3.09756857142857
"149","US",2008,3.17201761904762
"150","UT",2008,3.20741142857143
"151","VA",2008,3.12075761904762
"152","VT",2008,3.31359285714286
"153","WA",2008,3.40879
"154","WI",2008,3.23670285714286
"155","WV",2008,3.3319
"156","WY",2008,3.15859238095238
"157","AK",2009,2.82376785714286
"158","AL",2009,2.18978642857143
"159","AR",2009,2.16185238095238
"160","AZ",2009,2.27115952380952
"161","CA",2009,2.49220285714286
"162","CO",2009,2.25537071428571
"163","CT",2009,2.3768230952381
"164","DC",2009,2.25779976190476
"165","DE",2009,2.28573380952381
"166","FL",2009,2.20800428571429
"167","GA",2009,2.10962785714286
"168","HI",2009,2.77640142857143
"169","IA",2009,2.269945
"170","ID",2009,2.32702761904762
"171","IL",2009,2.28816285714286
"172","IN",2009,2.22743666666667
"173","KS",2009,2.23350928571429
"174","KY",2009,2.29545
"175","LA",2009,2.24808357142857
"176","MA",2009,2.36346333333333
"177","MD",2009,2.30152261904762
"178","ME",2009,2.45698166666667
"179","MI",2009,2.25172714285714
"180","MN",2009,2.32338404761905
"181","MO",2009,2.17642666666667
"182","MS",2009,2.20800428571429
"183","MT",2009,2.3671069047619
"184","NC",2009,2.30395166666667
"185","ND",2009,2.38653928571429
"186","NE",2009,2.30759523809524
"187","NH",2009,2.32459857142857
"188","NJ",2009,2.21286238095238
"189","NM",2009,2.32702761904762
"190","NV",2009,2.42904761904762
"191","NY",2009,2.35253261904762
"192","OH",2009,2.32216952380952
"193","OK",2009,2.1727830952381
"194","OR",2009,2.48977380952381
"195","PA",2009,2.37560857142857
"196","RI",2009,2.39018285714286
"197","SC",2009,2.16428142857143
"198","SD",2009,2.32216952380952
"199","TN",2009,2.21043333333333
"200","TX",2009,2.20800428571429
"201","US",2009,2.29909357142857
"202","UT",2009,2.33552928571429
"203","VA",2009,2.22986571428571
"204","VT",2009,2.39382642857143
"205","WA",2009,2.57357595238095
"206","WI",2009,2.38046666666667
"207","WV",2009,2.43633476190476
"208","WY",2009,2.19707357142857
"209","AK",2010,3.3744519047619
"210","AL",2010,2.62000619047619
"211","AR",2010,2.65144142857143
"212","AZ",2010,2.71552095238095
"213","CA",2010,2.98755666666667
"214","CO",2010,2.65265047619048
"215","CT",2010,2.85577047619048
"216","DC",2010,2.86786095238095
"217","DE",2010,2.72640238095238
"218","FL",2010,2.62967857142857
"219","GA",2010,2.5365819047619
"220","HI",2010,3.37566095238095
"221","IA",2010,2.67562238095238
"222","ID",2010,2.85939761904762
"223","IL",2010,2.72277523809524
"224","IN",2010,2.63088761904762
"225","KS",2010,2.65748666666667
"226","KY",2010,2.72156619047619
"227","LA",2010,2.63451476190476
"228","MA",2010,2.75421047619048
"229","MD",2010,2.7397019047619
"230","ME",2010,2.83884380952381
"231","MI",2010,2.65869571428571
"232","MN",2010,2.77355523809524
"233","MO",2010,2.59703428571429
"234","MS",2010,2.62846952380952
"235","MT",2010,2.8460980952381
"236","NC",2010,2.73244761904762
"237","ND",2010,2.84126190476191
"238","NE",2010,2.74937428571429
"239","NH",2010,2.75662857142857
"240","NJ",2010,2.64056
"241","NM",2010,2.73486571428571
"242","NV",2010,2.82675333333333
"243","NY",2010,2.77234619047619
"244","OH",2010,2.73486571428571
"245","OK",2010,2.60307952380952
"246","OR",2010,2.89929619047619
"247","PA",2010,2.80015428571429
"248","RI",2010,2.83158952380952
"249","SC",2010,2.57043523809524
"250","SD",2010,2.76871904761905
"251","TN",2010,2.64056
"252","TX",2010,2.61879714285714
"253","US",2010,2.73123857142857
"254","UT",2010,2.84488904761905
"255","VA",2010,2.65265047619048
"256","VT",2010,2.85335238095238
"257","WA",2010,2.98755666666667
"258","WI",2010,2.81103571428571
"259","WV",2010,2.86423380952381
"260","WY",2010,2.66474095238095
"261","AK",2011,4.15093333333333
"262","AL",2011,3.31954
"263","AR",2011,3.35815333333333
"264","AZ",2011,3.33884666666667
"265","CA",2011,3.67792
"266","CO",2011,3.37022
"267","CT",2011,3.6562
"268","DC",2011,3.64051333333333
"269","DE",2011,3.46192666666667
"270","FL",2011,3.30506
"271","GA",2011,3.21697333333333
"272","HI",2011,4.15214
"273","IA",2011,3.40159333333333
"274","ID",2011,3.51864
"275","IL",2011,3.46072
"276","IN",2011,3.34367333333333
"277","KS",2011,3.37866666666667
"278","KY",2011,3.45830666666667
"279","LA",2011,3.33643333333333
"280","MA",2011,3.53070666666667
"281","MD",2011,3.47761333333333
"282","ME",2011,3.63448
"283","MI",2011,3.37987333333333
"284","MN",2011,3.53432666666667
"285","MO",2011,3.30023333333333
"286","MS",2011,3.3304
"287","MT",2011,3.50416
"288","NC",2011,3.46554666666667
"289","ND",2011,3.61034666666667
"290","NE",2011,3.49450666666667
"291","NH",2011,3.52829333333333
"292","NJ",2011,3.35212
"293","NM",2011,3.46434
"294","NV",2011,3.47640666666667
"295","NY",2011,3.51502
"296","OH",2011,3.46675333333333
"297","OK",2011,3.30868
"298","OR",2011,3.5657
"299","PA",2011,3.55363333333333
"300","RI",2011,3.62482666666667
"301","SC",2011,3.26162
"302","SD",2011,3.51984666666667
"303","TN",2011,3.35694666666667
"304","TX",2011,3.33764
"305","US",2011,3.44624
"306","UT",2011,3.50174666666667
"307","VA",2011,3.36539333333333
"308","VT",2011,3.65137333333333
"309","WA",2011,3.68154
"310","WI",2011,3.57294
"311","WV",2011,3.63206666666667
"312","WY",2011,3.28092666666667
"313","AK",2012,4.36141285714286
"314","AL",2012,3.37292238095238
"315","AR",2012,3.41390857142857
"316","AZ",2012,3.50793571428571
"317","CA",2012,3.88524976190476
"318","CO",2012,3.45248380952381
"319","CT",2012,3.77434595238095
"320","DC",2012,3.77434595238095
"321","DE",2012,3.58870261904762
"322","FL",2012,3.37894976190476
"323","GA",2012,3.29215547619048
"324","HI",2012,4.36261833333333
"325","IA",2012,3.47177142857143
"326","ID",2012,3.60799023809524
"327","IL",2012,3.53204523809524
"328","IN",2012,3.4127030952381
"329","KS",2012,3.4476619047619
"330","KY",2012,3.52963428571429
"331","LA",2012,3.39100452380952
"332","MA",2012,3.65379833333333
"333","MD",2012,3.60678476190476
"334","ME",2012,3.75144190476191
"335","MI",2012,3.44886738095238
"336","MN",2012,3.54651095238095
"337","MO",2012,3.36930595238095
"338","MS",2012,3.38497714285714
"339","MT",2012,3.59231904761905
"340","NC",2012,3.54651095238095
"341","ND",2012,3.68514071428571
"342","NE",2012,3.56700404761905
"343","NH",2012,3.64294904761905
"344","NJ",2012,3.47659333333333
"345","NM",2012,3.52119595238095
"346","NV",2012,3.65259285714286
"347","NY",2012,3.63933261904762
"348","OH",2012,3.57182595238095
"349","OK",2012,3.37653880952381
"350","OR",2012,3.74662
"351","PA",2012,3.68514071428571
"352","RI",2012,3.74300357142857
"353","SC",2012,3.33796357142857
"354","SD",2012,3.59231904761905
"355","TN",2012,3.42596333333333
"356","TX",2012,3.39221
"357","US",2012,3.54530547619048
"358","UT",2012,3.5899080952381
"359","VA",2012,3.44404547619048
"360","VT",2012,3.77072952380952
"361","WA",2012,3.79363357142857
"362","WI",2012,3.64656547619048
"363","WV",2012,3.71768857142857
"364","WY",2012,3.36327857142857
"365","AK",2013,4.19422857142857
"366","AL",2013,3.27101619047619
"367","AR",2013,3.31078904761905
"368","AZ",2013,3.37346142857143
"369","CA",2013,3.74467476190476
"370","CO",2013,3.39274523809524
"371","CT",2013,3.68200238095238
"372","DC",2013,3.66512904761905
"373","DE",2013,3.48554857142857
"374","FL",2013,3.32525190476191
"375","GA",2013,3.21437
"376","HI",2013,4.19543380952381
"377","IA",2013,3.38430857142857
"378","ID",2013,3.53496333333333
"379","IL",2013,3.44457047619048
"380","IN",2013,3.32766238095238
"381","KS",2013,3.36140904761905
"382","KY",2013,3.44216
"383","LA",2013,3.28909476190476
"384","MA",2013,3.55545238095238
"385","MD",2013,3.5024219047619
"386","ME",2013,3.6603080952381
"387","MI",2013,3.36381952380952
"388","MN",2013,3.48072761904762
"389","MO",2013,3.28427380952381
"390","MS",2013,3.28306857142857
"391","MT",2013,3.52050047619048
"392","NC",2013,3.46264904761905
"393","ND",2013,3.59402
"394","NE",2013,3.4771119047619
"395","NH",2013,3.55304190476191
"396","NJ",2013,3.37587190476191
"397","NM",2013,3.41564476190476
"398","NV",2013,3.51206380952381
"399","NY",2013,3.54581047619048
"400","OH",2013,3.46747
"401","OK",2013,3.29271047619048
"402","OR",2013,3.60245666666667
"403","PA",2013,3.57835190476191
"404","RI",2013,3.65066619047619
"405","SC",2013,3.25775857142857
"406","SD",2013,3.5024219047619
"407","TN",2013,3.34092
"408","TX",2013,3.29753142857143
"409","US",2013,3.44698095238095
"410","UT",2013,3.51809
"411","VA",2013,3.36261428571429
"412","VT",2013,3.67838666666667
"413","WA",2013,3.60607238095238
"414","WI",2013,3.55545238095238
"415","WV",2013,3.63017714285714
"416","WY",2013,3.29512095238095
"417","AK",2014,4.05643333333333
"418","AL",2014,3.11792380952381
"419","AR",2014,3.15527142857143
"420","AZ",2014,3.2637
"421","CA",2014,3.61187619047619
"422","CO",2014,3.31550476190476
"423","CT",2014,3.53718095238095
"424","DC",2014,3.54440952380952
"425","DE",2014,3.36971904761905
"426","FL",2014,3.18539047619048
"427","GA",2014,3.09503333333333
"428","HI",2014,4.05763809523809
"429","IA",2014,3.23599047619048
"430","ID",2014,3.44682380952381
"431","IL",2014,3.29261428571429
"432","IN",2014,3.18057142857143
"433","KS",2014,3.21430476190476
"434","KY",2014,3.29020476190476
"435","LA",2014,3.13479047619048
"436","MA",2014,3.42031904761905
"437","MD",2014,3.38538095238095
"438","ME",2014,3.51549523809524
"439","MI",2014,3.21550952380952
"440","MN",2014,3.28177142857143
"441","MO",2014,3.13960952380952
"442","MS",2014,3.12876666666667
"443","MT",2014,3.43236666666667
"444","NC",2014,3.33357619047619
"445","ND",2014,3.43477619047619
"446","NE",2014,3.32393809523809
"447","NH",2014,3.41309047619048
"448","NJ",2014,3.2637
"449","NM",2014,3.25526666666667
"450","NV",2014,3.39742857142857
"451","NY",2014,3.41670476190476
"452","OH",2014,3.34200952380952
"453","OK",2014,3.1468380952381
"454","OR",2014,3.48537619047619
"455","PA",2014,3.46007619047619
"456","RI",2014,3.5070619047619
"457","SC",2014,3.1372
"458","SD",2014,3.34803333333333
"459","TN",2014,3.19261904761905
"460","TX",2014,3.13840476190476
"461","US",2014,3.31068571428571
"462","UT",2014,3.42995714285714
"463","VA",2014,3.23719523809524
"464","VT",2014,3.53356666666667
"465","WA",2014,3.52272380952381
"466","WI",2014,3.39863333333333
"467","WV",2014,3.49501428571429
"468","WY",2014,3.2131
"469","AK",2015,3.3299619047619
"470","AL",2015,2.18784761904762
"471","AR",2015,2.21314761904762
"472","AZ",2015,2.67939047619048
"473","CA",2015,3.06611904761905
"474","CO",2015,2.35530952380952
"475","CT",2015,2.49988095238095
"476","DC",2015,2.56734761904762
"477","DE",2015,2.44084761904762
"478","FL",2015,2.26977142857143
"479","GA",2015,2.20230476190476
"480","HI",2015,3.33116666666667
"481","IA",2015,2.32157619047619
"482","ID",2015,2.5203619047619
"483","IL",2015,2.36253809523809
