"GEOID.msa","name_msa","revenue_miles","revenue_hours","fares","upt_total","upt_bus","upt_rail","total_expenses","average_speed","avg_fare","farebox_recovery","upt_bus_chg","upt_rail_chg","upt_total_chg","revenue_miles_y06","revenue_hours_y06","fares_y06","upt_total_y06","upt_bus_y06","upt_rail_y06","total_expenses_y06","average_speed_y06","avg_fare_y06","farebox_recovery_y06","upt_bus_chg_y06","upt_rail_chg_y06","upt_total_chg_y06","revenue_miles_y15","revenue_hours_y15","fares_y15","upt_total_y15","upt_bus_y15","upt_rail_y15","total_expenses_y15","average_speed_y15","avg_fare_y15","farebox_recovery_y15","upt_bus_chg_y15","upt_rail_chg_y15","upt_total_chg_y15","revenue_miles_y16","revenue_hours_y16","fares_y16","upt_total_y16","upt_bus_y16","upt_rail_y16","total_expenses_y16","average_speed_y16","avg_fare_y16","farebox_recovery_y16","upt_bus_chg_y16","upt_rail_chg_y16","upt_total_chg_y16"
"12060","Atlanta-Sandy Springs-Roswell, GA",0.12550738503762,0.0824002630279974,0.508321968196823,-0.0291187039021792,-0.144102166391772,0.0924538066399922,0.492078896665601,0.69357399237937,0.402563743965189,0.00338122957669834,NA,NA,NA,60437336,3470353,108024806,148543356,77919009,69209027,347796498,17.4153280660498,0.727227450011295,0.310597739256132,NA,NA,NA,68022668,3756311,162936188,144217966,66690711,75607665,518939815,18.1089020584291,1.12979119397648,0.313978968832831,-0.14322859370663,-0.0273290386973932,-0.0843550243472811,70043741,3934670,156069057,141164320,64255377,75059729,557860129,17.8016812083351,1.10558430770608,0.279763777489823,-0.174515177770399,-0.0343780784455762,-0.103742730989337
"12420","Austin-Round Rock, TX",0.295026054676698,0.296201465858742,3.35020088277795,-0.0160767628366098,-0.0615770881484305,NA,0.535858058461713,-0.0122207360543811,0.534920964945528,0.0791485495312315,NA,NA,NA,17574580,1304082,5532082,35382434,34464085,NA,128077124,13.4765911959524,0.156351086530678,0.0431933652726306,NA,NA,NA,22759539,1690353,24065668,34813599,32341887,1418493,196708283,13.464370459898,0.691272051476206,0.122341914803862,-0.0742305290824502,NA,-0.0291669613351124,24184390,1781600,23649112,31134629,28639273,1348597,218470639,13.5745341266277,0.759575840778446,0.108248468115663,-0.180215903522473,NA,-0.131760939747312
"12580","Baltimore-Columbia-Towson, MD",0.27513555757626,0.260164497101914,0.157564324232592,0.0790692133383952,0.00543279224956127,0.360298196718305,0.521637045116327,0.18074162811731,0.0791872190107428,-0.0645929585754976,NA,NA,NA,48810256,3208324,119501620,109777164,89655002,18813755,442655314,15.2136305435486,1.08858359649371,0.269965402471143,NA,NA,NA,62239693,4043016,138330812,118457158,90142079,25592317,673560724,15.3943721716659,1.16777081550445,0.205372443895645,0.0740594448761117,0.193997177961601,0.105938965642359,65506604,4251831,155955541,112993753,86483149,23581078,666141155,15.4066810275385,1.38021383359131,0.234117858999419,0.0304626211924628,0.100163794676832,0.0549315586050801
"13820","Birmingham-Hoover, AL",0.19735418766594,-0.0149708279341441,0.0747170808104113,-0.090483257166733,-0.110608148724773,NA,0.375393169828856,2.76754619281832,0.121129761033378,-0.0263147333171889,NA,NA,NA,3903905,304058,2453174,3678559,3541683,NA,20379870,12.8393431516355,0.666884505590368,0.120372406693468,NA,NA,NA,4674357,299506,2636468,3345711,3149944,NA,28030334,15.6068893444539,0.788014266623746,0.0940576733762787,0.287549704389682,NA,0.257576651708005,4889419,306291,2605458,3177134,2981571,NA,35381791,15.9633126667124,0.820065505578298,0.0736383864796443,0.218726701067336,NA,0.194212392447423
"14460","Boston-Cambridge-Newton, MA-NH",0.135439254947413,0.0898583510696477,0.824881024219406,0.0777527064152578,0.150477482673021,0.0260518468532012,0.608449953626913,0.58911177537672,0.622211168143412,0.0478169374817852,NA,NA,NA,95427895,6774707,347379944,387028560,152883977,230983816,977541128,14.0859073314905,0.897556356047729,0.355360950091913,NA,NA,NA,108352578,7383471,633927068,417121078,175889573,237001371,1572325982,14.6750191068672,1.51976752419114,0.403177887573698,0.123879595264346,0.158867882989757,0.143093096637965,111561287,7632875,650546241,414317911,169576128,240269755,1588422385,14.6158933560421,1.57016200296492,0.409554944039648,0.0835386478716107,0.174849331666177,0.135411200384275
"15380","Buffalo-Cheektowaga-Niagara Falls, NY",0.0333309216356298,0.118077953883832,0.526712117713645,0.107049409109705,0.203493194006993,-0.217316327240857,0.268478177938515,-0.927042710063342,0.390849122155152,0.0496051164396385,NA,NA,NA,10587286,865640,24495512,23758048,18042628,5631864,100528770,12.2305877732083,1.03104059727466,0.243666683676723,NA,NA,NA,10940170,967853,37397595,26301333,21714180,4407968,127518551,11.3035450631449,1.42188971942981,0.293271800116361,0.0620174613708657,-0.290821346818551,-0.0185932086211359,11050449,970933,37505573,28079525,22680510,5212083,134504599,11.3812683264448,1.33569114862164,0.278842309325051,0.109279634450692,-0.161450808578936,0.0477581700399976
"16740","Charlotte-Concord-Gastonia, NC-SC",0.615947052898149,0.561697172066947,1.44144272763002,0.367078153116705,0.0547825545800279,33.7844623536323,0.725058895228589,0.539715905769279,0.468148962768383,0.0670387708905733,NA,NA,NA,15075726,970320,12614966,21176801,20407190,175329,78145125,15.5368600049468,0.595697433243104,0.161429980437039,NA,NA,NA,24361575,1515346,30798717,28950342,21525148,6098725,134804943,16.0765759107161,1.06384639601149,0.228468751327613,0.057173463218008,0.876519221420176,0.200431403826781,24214593,1588498,32788109,27929812,20325088,6297680,140803657,15.2437038006973,1.17394664167449,0.232864044149081,-0.00176557804988027,0.937735767779891,0.158114934454939
"16980","Chicago-Naperville-Elgin, IL-IN-WI",0.0469329477156043,0.0250434970374819,0.346114435174311,0.0324325335869164,-0.0687100069606779,0.238520434807414,0.205676469902033,0.319052189780095,0.369207082419903,0.0419456893811698,NA,NA,NA,235528590,15764292,744361098,612549832,411390964,195222246,2067045682,14.9406386281097,1.21518455987431,0.360108682881059,NA,NA,NA,246582641,16159085,1001995219,632416375,383124288,241786741,2492188341,15.2596908178897,1.58439164229421,0.402054372262229,-0.0714355119362524,0.146438640571635,0.00449748609411371,246371134,16242134,995777872,611655804,365669177,238758131,2556736454,15.1686431105666,1.62800363454084,0.38947223928462,-0.113740833518503,0.132078400978424,-0.0284775319537323
"17140","Cincinnati, OH-KY-IN",-0.0242893266809768,0.00771547607468976,0.21844059539478,-0.299754812215664,-0.307414995562546,NA,0.202226405725192,-0.453315227149291,0.719772521968388,0.00382407436051174,NA,NA,NA,17903831,1254362,28730786,29538992,29077482,NA,101328162,14.2732568429209,0.97263935072666,0.283541963388224,NA,NA,NA,17468959,1264040,35006756,20684537,20138628,72306,121819392,13.8199416157717,1.69241187269505,0.287366037748735,-0.105936952007786,NA,-0.0988504149693946,17679175,1273244,34562227,20027078,19147761,404826,125326756,13.8851429890893,1.72577482346651,0.27577692188889,-0.149926918463043,NA,-0.127493497723659
"17460","Cleveland-Elyria, OH",-0.149800645162038,-0.108218988389051,0.146210345381057,-0.326070861200845,-0.363909932577889,-0.160511251194801,0.0919019515964861,-0.634712749687857,0.422422560729288,0.00907662677627691,NA,NA,NA,31063204,2281984,42833125,71058999,59250147,10952659,234713786,13.6123671331613,0.602782555380494,0.182490878486362,NA,NA,NA,26409916,2035030,49095771,47888730,37688430,9194634,256284441,12.9776543834735,1.02520511610978,0.191567505262639,0.0329822015974095,0.539324140325653,0.107341103147709,26524554,2032564,48705508,45153137,35155808,9044904,279071140,13.0498001538943,1.07867384717921,0.174527211950329,-0.0364330924165368,0.514257019271029,0.0440854150059867
